Player_Name,X1,Y1
John Stones,264,160
John Stones,276,196
Toby Alderweireld,42,316
Jan Vertonghen,186,64
Vincent Kompany,114,128
Kieran Trippier,396,360
Toby Alderweireld,168,328
John Stones,414,292
Toby Alderweireld,186,348
Thomas Meunier,516,356
Phil Jones,192,336
Thomas Meunier,486,324
Jan Vertonghen,366,64
Danny Rose,216,52
Danny Rose,180,64
Danny Rose,348,72
Danny Rose,408,76
Danny Rose,396,76
Harry  Maguire,360,64
John Stones,318,192
Phil Jones,354,308
Kieran Trippier,408,356
Phil Jones,312,332
John Stones,228,264
Harry  Maguire,234,112
Harry  Maguire,258,124
Vincent Kompany,102,92
Danny Rose,468,44
Harry  Maguire,360,80
John Stones,318,120
John Stones,312,132
John Stones,318,184
Phil Jones,396,336
Kieran Trippier,450,336
Phil Jones,366,344
John Stones,348,256
Phil Jones,384,324
Vincent Kompany,252,48
Jan Vertonghen,402,44
John Stones,144,152
Thomas Meunier,378,356
Thomas Meunier,366,324
Kieran Trippier,76,280
Phil Jones,210,324
Harry  Maguire,258,140
John Stones,258,212
Phil Jones,318,304
Kieran Trippier,366,340
Phil Jones,252,320
John Stones,264,224
John Stones,180,208
Harry  Maguire,198,80
Phil Jones,318,316
Phil Jones,324,312
Jan Vertonghen,144,56
John Stones,180,248
Vincent Kompany,72,160
Jan Vertonghen,168,108
Jan Vertonghen,156,64
John Stones,114,200
Thomas Meunier,444,332
Thomas Meunier,414,300
Toby Alderweireld,354,296
Kieran Trippier,48,292
Danny Rose,60,112
John Stones,318,192
Danny Rose,180,40
Thomas Meunier,420,332
Thomas Meunier,444,360
Phil Jones,156,308
Kieran Trippier,198,360
Thomas Meunier,414,344
Toby Alderweireld,312,292
Harry  Maguire,186,96
Phil Jones,246,312
Kieran Trippier,354,328
Danny Rose,114,76
Kieran Trippier,252,360
Phil Jones,222,284
Toby Alderweireld,348,280
Harry  Maguire,252,124
Jan Vertonghen,414,56
Kieran Trippier,372,340
Phil Jones,276,288
Thomas Meunier,450,340
Phil Jones,240,292
Kieran Trippier,270,336
Thomas Meunier,504,344
Vincent Kompany,402,108
Kieran Trippier,390,340
Jan Vertonghen,348,52
Phil Jones,360,304
John Stones,318,224
Vincent Kompany,246,96
John Stones,66,168
Harry  Maguire,78,104
Phil Jones,270,204
Danny Rose,72,60
John Stones,72,160
Toby Alderweireld,558,148
John Stones,114,148
Toby Alderweireld,102,212
Phil Jones,126,332
Kieran Trippier,252,336
Harry  Maguire,324,64
Jan Vertonghen,168,80
Harry  Maguire,276,336
Phil Jones,384,352
Vincent Kompany,54,184
Kieran Trippier,198,360
Thomas Meunier,126,312
John Stones,252,276
Thomas Meunier,234,360
Kieran Trippier,390,360
Harry  Maguire,402,148
Danny Rose,180,68
Kieran Trippier,64,232
Harry  Maguire,42,240
Danny Rose,462,56
John Stones,390,72
John Stones,408,104
Kieran Trippier,510,352
Vincent Kompany,114,164
Harry  Maguire,432,232
Vincent Kompany,186,176
Kieran Trippier,444,356
Phil Jones,420,308
Kieran Trippier,468,356
Phil Jones,396,300
John Stones,324,184
Harry  Maguire,58,128
Toby Alderweireld,228,332
Toby Alderweireld,366,328
Thomas Meunier,384,340
John Stones,150,148
John Stones,198,180
John Stones,342,156
Danny Rose,438,56
John Stones,324,212
Kieran Trippier,414,352
Phil Jones,300,304
Kieran Trippier,348,328
Harry  Maguire,312,188
Thomas Vermaelen,96,44
Kieran Trippier,450,360
Jan Vertonghen,162,40
Jan Vertonghen,186,56
Toby Alderweireld,270,268
Jan Vertonghen,390,40
Jan Vertonghen,270,76
Thomas Vermaelen,192,76
Toby Alderweireld,318,276
Toby Alderweireld,216,288
Vincent Kompany,216,200
Phil Jones,360,336
Vincent Kompany,204,132
Thomas Vermaelen,216,60
Jan Vertonghen,270,64
Jan Vertonghen,324,40
